0
[-5.51598393e+23 -5.68674578e+23]
[ 4.48418254e+22 -3.04936027e+22]
[-2.35299350e+22  4.31725482e+22]
[8.15038026e+21 2.89544905e+22]
[-1.68886626e+22 -9.53123161e+21]
[-2.97721950e+21  1.20316853e+22]
[ 3.88884841e+21 -1.76247572e+21]
[-1.49600852e+22  3.58207263e+22]
[-5.08903076e+21 -1.12998596e+22]
[-5.38827727e+21  1.74372731e+22]
[-3.38589854e+21 -1.46669671e+22]
[-6.46618370e+23 -3.51387513e+23]
[-2.54983942e+21  1.39213836e+22]
[-9.96280690e+21  1.83710852e+21]
[7.40127884e+21 1.40831348e+22]
[-1.46259401e+21 -1.40950465e+22]
[ 1.42306133e+22 -5.20515547e+22]
[ 9.53798657e+21 -1.04099387e+22]
[-5.2050799e+21 -8.6003039e+20]
[ 1.06822307e+22 -2.77080702e+22]
[4.55903183e+21 6.84248587e+21]
[ 4.07412711e+22 -6.36469335e+21]
[-2.10351247e+22 -2.47092556e+22]
[3.34360257e+22 1.85334137e+22]
[-9.43110089e+21  4.49998547e+22]
[1.14709870e+22 3.33815836e+21]
[ 1.91428668e+22 -1.98621659e+22]
[9.53674273e+21 6.10385900e+21]
[-2.61557325e+22 -2.70972679e+22]
[-3.39576681e+22 -1.06130690e+23]
[-2.93173551e+19 -1.80826053e+21]
[-7.61819144e+21  5.80929139e+21]
[1.02484759e+22 9.29505562e+20]
[-9.06817419e+21  1.09106488e+22]
[ 7.90293880e+21 -1.16706246e+22]
[-2.56233433e+22 -7.13731701e+21]
[6.02194356e+21 1.51236205e+21]
[ 5.31881660e+22 -4.60747682e+22]
[-1.21534998e+22  1.84534341e+22]
[-1.75191864e+21 -3.52666625e+21]
[-3.05597200e+21 -1.58104646e+22]
[7.30230084e+21 1.11420983e+22]
[-2.02218802e+22  2.11610872e+22]
[-5.06236543e+21 -4.35456347e+21]
[3.08453952e+21 1.10865479e+22]
[-1.96086238e+22  2.26491209e+22]
[-1.02151316e+22  1.36173286e+22]
[-1.12092801e+22 -1.94927794e+21]
[ 3.32941942e+21 -2.46461187e+22]
[ 1.30979806e+22 -3.16699170e+21]
[ 3.02311472e+21 -6.78731159e+21]
[3.38739817e+22 1.65764982e+22]
[ 2.27846466e+22 -6.28213612e+22]
[ 1.13782981e+22 -4.86764754e+21]
[-1.52050221e+22 -8.31512229e+21]
[1.10531049e+22 5.25053276e+21]
[9.19287155e+21 8.35289846e+21]
[ 2.52154778e+22 -1.45449201e+21]
[-7.21051960e+22  5.12968578e+22]
[-2.77566577e+20 -3.29099879e+22]
[-1.04719320e+22  1.77028534e+21]
[-3.52790608e+22  1.22167684e+22]
[-1.55799906e+22  1.92499068e+23]
[1.08165091e+22 9.35423308e+21]
[-3.67252605e+21  9.64652931e+20]
[-1.61935347e+22  4.51493178e+22]
[6.91258374e+20 9.40874982e+21]
[9.27508875e+21 1.30683960e+22]
[4.90678012e+22 4.94178992e+22]
[ 1.70964236e+22 -3.25607742e+22]
[-1.84334390e+22 -1.95328207e+21]
[5.79229997e+21 1.62095829e+22]
[ 1.40583952e+21 -1.75353511e+22]
[-4.25556877e+21  4.38470825e+23]
[2.88440927e+22 2.05659178e+23]
[ 2.00790084e+22 -6.38291012e+22]
[-4.86790185e+21  5.78098101e+21]
[-1.63515947e+22  2.79723468e+22]
[-1.18263479e+22 -1.08686742e+22]
[1.83624174e+22 1.62057289e+22]
[-1.43772174e+22 -6.14028057e+21]
[-3.32099793e+21 -3.79033649e+21]
[-5.74887663e+21  2.57089817e+21]
[ 2.55366710e+20 -4.04077214e+21]
[ 5.88361933e+21 -3.42987078e+22]
[ 1.75380378e+21 -4.43522505e+21]
[-8.86698369e+21  4.04354755e+21]
[-1.00603666e+22 -1.25366948e+22]
[-8.38669809e+21  1.20030616e+21]
[-7.37530603e+21 -1.21061343e+20]
[-5.05409821e+21  3.45803068e+21]
[-1.71455931e+21  7.58014292e+21]
[ 2.38816523e+21 -1.72882594e+22]
[ 1.86520179e+21 -5.03057577e+21]
[ 6.16798786e+20 -1.01024323e+20]
[1.22130080e+21 4.03768696e+21]
[-1.03144665e+22 -1.84321226e+21]
[-1.69870657e+22  2.52851928e+22]
