0
[-6.69766974e+21  3.85675324e+21]
[5.05679567e+21 2.00622623e+21]
[ 1.95496662e+22 -5.56733689e+21]
[5.18993094e+21 1.37454407e+22]
[-9.88034198e+21  7.98003487e+21]
[-3.63853582e+21 -1.17438665e+21]
[4.49071695e+21 7.15766463e+21]
[-1.04877950e+22  6.23789744e+22]
[-6.66617179e+21  1.04323994e+22]
[3.24976002e+22 1.90569072e+22]
[-3.67878108e+21 -2.55905295e+21]
[2.95231049e+21 6.95349895e+21]
[-7.33274899e+21  7.59580919e+21]
[ 1.22225935e+22 -1.21573582e+22]
[-3.23000645e+21 -1.96713250e+22]
[ 9.04473760e+20 -6.93895329e+21]
[-3.05747588e+21 -1.87761370e+21]
[3.20838044e+22 2.78355257e+22]
[-5.50599193e+18 -3.62381768e+21]
[-3.44943670e+21  2.99426503e+21]
[ 1.88251900e+20 -9.93526654e+21]
[-1.65499373e+20 -7.33920188e+21]
[-1.47582681e+21  7.80233965e+21]
[-9.18418988e+20 -1.96190450e+20]
[ 3.23197025e+21 -2.62813890e+21]
[1.30300728e+22 1.44830127e+21]
[-9.69600547e+21  2.13984619e+22]
[-2.47602520e+22 -2.66980939e+22]
[ 9.37668984e+21 -2.70780056e+20]
[-6.64409098e+20  1.02920311e+22]
[-7.41019618e+21 -4.01408390e+21]
[ 1.03573580e+22 -1.21699905e+22]
[ 5.75692299e+21 -2.40613540e+21]
[-1.07253291e+21  8.56164361e+21]
[-1.56235730e+22 -1.29928024e+22]
[ 2.89747276e+21 -2.66979508e+21]
[-4.25551174e+21 -1.04495631e+22]
[8.2570782e+20 6.9144024e+20]
[-1.32196010e+22  1.83898638e+21]
[-3.68051377e+21  1.49842825e+21]
[3.73173468e+21 2.72294875e+21]
[-1.30115203e+22  4.20185928e+21]
[-5.37967299e+23 -1.60107319e+22]
[-7.62683042e+21  1.39722348e+22]
[-1.63470152e+21  7.71920133e+21]
[ 4.62661273e+21 -6.17667295e+20]
[-7.62822471e+21 -1.85524184e+22]
[ 3.12839453e+21 -9.68925938e+21]
[-1.64285180e+23 -2.15402027e+24]
[-4.45718483e+22  1.21481801e+22]
[5.07389509e+21 6.49794402e+21]
