position,mass,velocity
[-4.42521071e+33  4.62379473e+31],1e+30,[-4.49259970e+26  4.69420785e+24]
[ 6.10195254e+33 -1.07909614e+33],1e+30,[ 6.19487568e+26 -1.09552908e+26]
[ 6.48448047e+32 -3.10381954e+33],1e+30,[ 6.58322891e+25 -3.15108583e+26]
[-2.27316337e+33 -3.60782768e+33],1e+30,[-2.30778007e+26 -3.66276922e+26]
[ 2.84317864e+33 -1.17144343e+33],1e+30,[ 2.88647577e+26 -1.18928267e+26]
[-2.46132216e+31  3.01733450e+33],1e+30,[-2.49880422e+24  3.06328375e+26]
[ 2.97619056e+34 -1.08554503e+34],1e+30,[ 3.02151326e+27 -1.10207617e+27]
[ 7.23598937e+33 -1.59692995e+33],1e+30,[ 7.34618210e+26 -1.62124868e+26]
[9.61752209e+32 2.52518287e+32],1e+30,[9.76398181e+25 2.56363743e+25]
[-3.80699966e+33 -1.16284323e+33],1e+30,[-3.86497427e+26 -1.18055151e+26]
[4.36170314e+33 5.48584524e+33],1e+30,[4.42812501e+26 5.56938603e+26]
[ 2.36152331e+33 -3.89237993e+33],1e+30,[ 2.39748559e+26 -3.95165475e+26]
[ 8.37891907e+32 -5.04430325e+33],1e+30,[ 8.50651683e+25 -5.12112005e+26]
[2.76528530e+32 2.30458837e+33],1e+30,[2.80739624e+25 2.33968362e+26]
[-1.83758740e+33  4.24505646e+33],1e+30,[-1.86557096e+26  4.30970199e+26]
[1.8718574e+34 5.6977445e+33],1e+30,[1.90036284e+27 5.78451218e+26]
[-2.96259259e+33  1.47577324e+33],1e+30,[-3.00770821e+26  1.49824695e+26]
[ 3.26515312e+33 -1.22229163e+34],1e+30,[ 3.31487627e+26 -1.24090521e+27]
[-1.15852383e+33 -3.58587601e+33],1e+30,[-1.17616633e+26 -3.64048326e+26]
[6.77481284e+33 9.41440776e+32],1e+30,[6.87798258e+26 9.55777437e+25]
[ 4.90847193e+34 -1.11623560e+34],1e+30,[ 4.98322023e+27 -1.13323411e+27]
[ 5.32528080e+33 -3.12887741e+33],1e+30,[ 5.40637644e+26 -3.17652529e+26]
[ 4.06858775e+33 -6.46768788e+32],1e+30,[ 4.13054594e+26 -6.56618059e+25]
[-2.56982007e+34 -7.17071759e+34],1e+30,[-2.60895439e+27 -7.27991633e+27]
[-1.92655748e+32 -6.92325605e+32],1e+30,[-1.95589591e+25 -7.02868634e+25]
[6.49169638e+32 5.13129919e+33],1e+30,[6.5905547e+25 5.2094408e+26]
[5.18186551e+33 1.39879017e+33],1e+30,[5.26077717e+26 1.42009154e+26]
[-1.19287406e+34  6.59451594e+33],1e+30,[-1.21103965e+27  6.69494004e+26]
[-1.42195636e+34 -4.03912297e+33],1e+30,[-1.44361051e+27 -4.10063245e+26]
[-5.57365984e+33 -1.71404962e+33],1e+30,[-5.65853791e+26 -1.74015190e+26]
[1.46908830e+32 2.47629758e+33],1e+30,[1.49146020e+25 2.51400769e+26]
[-4.0334553e+31  2.3580195e+33],1e+30,[-4.09487848e+24  2.39392843e+26]
[ 2.14333235e+34 -1.99232102e+34],1e+30,[ 2.17597193e+27 -2.02266094e+27]
[1.17507375e+33 5.24707333e+30],1e+30,[1.19296828e+26 5.32697800e+23]
[5.63915795e+33 1.31058393e+34],1e+30,[5.72503345e+26 1.33054206e+27]
[-6.79418663e+31 -1.34648961e+33],1e+30,[-6.89765140e+24 -1.36699453e+26]
[5.61738132e+33 1.17975837e+33],1e+30,[5.70292519e+26 1.19772424e+26]
