"Przyspieszenie (Ax, Ay)"
[ 2.49880618e+21 -1.26677464e+22]
[-3.40298588e+22  2.09211124e+22]
[1.10660143e+22 2.37201029e+22]
[-8.79099710e+22 -8.48491266e+22]
[-2.29872814e+22 -1.94590702e+22]
[-2.61701023e+21 -2.99091021e+22]
[1.28188235e+22 2.45726469e+22]
[1.27296982e+22 2.03301173e+22]
[2.29249972e+22 4.49601656e+21]
[3.81112728e+22 9.05408940e+20]
[-8.73607053e+21 -2.57502272e+22]
[-6.75316420e+20 -1.41187312e+22]
[ 4.63400328e+22 -1.58354981e+22]
[ 2.14745031e+22 -1.32401656e+22]
[1.24036134e+22 4.72388050e+22]
[ 8.23046486e+21 -1.01289348e+22]
[3.27046593e+22 1.91536573e+20]
[-4.37561114e+22 -1.75057255e+22]
[-5.16625492e+22  3.33620219e+22]
[ 2.28835969e+22 -2.14984677e+22]
[-5.92413941e+20  4.83623094e+20]
[ 2.40567114e+22 -8.08496760e+21]
[ 5.68825168e+21 -9.44441174e+22]
[5.89240684e+21 2.00121465e+22]
[8.33058938e+21 3.67150912e+21]
[-1.14843543e+22 -4.94279212e+21]
[ 1.73445258e+22 -9.09816769e+22]
[ 3.3345697e+21 -1.2846202e+22]
[-9.06329574e+21  5.18662597e+21]
[-3.81908248e+21 -1.11440069e+22]
[1.13543775e+22 7.05152229e+21]
[-3.26515835e+22  2.27440748e+21]
[ 1.24355814e+22 -3.73672369e+21]
[ 9.49851481e+20 -2.93788640e+22]
[ 4.34547082e+21 -7.72034064e+21]
[-6.75412604e+21  8.20874952e+21]
[ 1.23055577e+22 -9.41796823e+21]
[2.25080447e+22 4.82105176e+22]
[1.08822626e+23 1.76796669e+23]
[-1.78821593e+22  2.31254054e+21]
[2.19592364e+22 1.33191108e+22]
[3.28725842e+22 2.64777355e+22]
[-1.95538072e+21  2.90424676e+21]
[-1.10782244e+22 -1.98892862e+20]
[-5.78326486e+21  2.05235446e+21]
[2.88084228e+21 6.00515466e+21]
[1.05450246e+22 4.11104495e+21]
[9.51542875e+19 6.93092931e+21]
[1.64796462e+22 8.88860973e+20]
[-1.41054123e+22  1.25435125e+22]
[2.09932730e+22 6.10780771e+21]
[ 7.86231082e+22 -1.23243930e+23]
[-3.54822576e+23  7.02676394e+22]
[-7.06541137e+21  5.79176881e+21]
[ 1.66937171e+21 -3.86959403e+22]
[-7.50096118e+21  1.22669921e+22]
[-1.81974288e+21 -6.33628982e+21]
[ 4.46033792e+21 -5.92409935e+21]
[-2.33568377e+22 -1.14617207e+22]
[-1.23922981e+22 -8.32088298e+21]
[-5.28695976e+21 -9.36676030e+21]
[-2.67927002e+22 -4.41755591e+22]
[ 4.18351319e+21 -1.40713272e+21]
[ 2.88024503e+21 -2.15662932e+22]
[2.11218323e+22 1.22483360e+22]
[-1.32661235e+22  8.06389228e+21]
[9.49697376e+21 3.06534005e+21]
[ 4.87313378e+21 -2.07814938e+21]
[7.05386646e+21 1.29978661e+21]
[ 1.39813609e+20 -1.40518668e+22]
[-2.22031956e+22 -8.51094923e+21]
[-2.01471031e+22  1.40441970e+22]
[-9.1441261e+21  1.5184706e+22]
[-1.03795661e+22  9.57990002e+21]
[-1.10595937e+22 -6.42637902e+21]
[-2.75255162e+21  1.69201009e+22]
[1.35882663e+22 6.70423686e+21]
[-1.65609307e+23 -7.36807743e+22]
[-1.19771374e+22 -8.80810428e+21]
[ 3.63309735e+21 -6.25873292e+21]
[-1.01483988e+22  9.46996047e+21]
[2.46475748e+21 4.59516330e+22]
[ 2.80141212e+22 -1.69299748e+22]
[-1.01849787e+22 -1.24247472e+22]
[-9.66717261e+19  1.92433216e+22]
[-6.82955767e+21  1.65929902e+22]
[-3.58872829e+21  1.78508611e+22]
[4.85373906e+22 5.61780070e+22]
[3.83612547e+21 9.61639558e+18]
[4.88390633e+21 1.16366447e+22]
[1.72678164e+22 3.16192256e+21]
[-3.97181042e+21 -1.91452203e+21]
[4.91465435e+22 7.93404883e+22]
[ 1.15497947e+22 -3.37884796e+21]
[3.51254915e+25 1.57167458e+26]
[-2.85314505e+20 -5.11979703e+21]
[-6.68437523e+21 -1.50967235e+22]
[1.12660934e+22 6.86039839e+21]
[-5.27941615e+22 -1.06673651e+23]
[-5.14269184e+21 -5.07255010e+20]
[-3.78694390e+22 -4.12058666e+22]
[ 2.63779835e+22 -5.70138349e+22]
[-5.32441447e+21  2.30815790e+22]
[ 2.78775232e+22 -2.10150705e+22]
[1.91769850e+22 2.87190845e+22]
[-1.87978152e+22  1.65938023e+22]
[1.06372487e+22 3.79745960e+22]
[-7.82079010e+21  4.83523036e+20]
[ 6.53917292e+21 -1.25304475e+22]
[ 2.60230514e+22 -3.95807398e+22]
[ 1.59873670e+21 -8.35307223e+20]
[1.05856805e+22 4.67805983e+21]
[-3.86269401e+22  5.49496394e+21]
[-3.05190763e+22  5.29564892e+21]
[ 4.85029823e+21 -9.00530682e+21]
[-1.16918624e+22 -2.91737955e+21]
[-1.94174808e+20  5.95820810e+21]
[-1.12025038e+22 -5.22322243e+21]
[-1.00104925e+22  2.25729133e+22]
[ 5.84078514e+20 -1.07980909e+23]
[-9.19550516e+21 -1.30516199e+21]
[-9.81268071e+22 -1.28727474e+23]
[ 2.17800417e+22 -8.38509274e+21]
[-5.08211650e+21 -1.50765629e+22]
[-1.18957315e+22 -4.12891045e+21]
[-1.49177357e+21 -6.72884571e+21]
[-1.27450503e+22 -7.90492988e+21]
[8.81723087e+21 6.04858044e+21]
[-1.27554455e+22 -2.49724424e+22]
[-7.24581446e+21  5.66257738e+21]
[-3.14048215e+21 -2.45657811e+22]
[ 4.87024644e+21 -7.95634670e+21]
[-3.62578877e+22 -3.57936278e+22]
[-4.13542750e+22 -2.43099468e+22]
[-1.4504573e+22 -1.6067976e+21]
[-4.40966154e+21  2.81683224e+21]
[-2.92849963e+21 -1.34738338e+22]
[-2.91952862e+23 -4.24292885e+22]
[-1.27463768e+21  9.55502505e+21]
[-9.78160044e+21  2.73602458e+21]
[-9.61437687e+21  8.41223175e+21]
[-7.65675939e+21 -1.69055896e+22]
[3.43395896e+21 2.99613878e+22]
[1.48710773e+20 2.64562373e+21]
[-9.62132047e+21 -3.21279296e+22]
[1.74899514e+22 1.08267201e+22]
[-5.80164361e+22 -3.17051193e+22]
[-1.12862504e+22 -4.66243628e+21]
[-6.34916036e+21  1.96524330e+21]
[ 9.84484578e+21 -1.49134884e+22]
[2.11826001e+22 6.98310678e+21]
[-1.81928276e+22 -1.26416559e+22]
[ 4.58603764e+21 -1.00142413e+22]
[-5.20914835e+22 -2.64966246e+22]
[1.87202486e+23 2.10598333e+23]
[-1.11274505e+20  8.67917146e+21]
[-8.38095152e+21  4.05679432e+21]
[-1.55536053e+22  2.36384757e+22]
[-2.55859548e+21  5.87725728e+20]
[6.92380118e+21 5.38144994e+21]
[1.57372454e+22 5.30699419e+21]
[ 6.01080171e+21 -8.72865666e+21]
[ 1.30550033e+23 -6.05760938e+22]
[ 5.79756980e+21 -1.20175568e+22]
[-1.91289156e+21  1.06478019e+22]
[-2.94299857e+21 -9.39219859e+21]
[ 2.73117303e+22 -5.84327466e+21]
[ 6.33545964e+22 -2.86642730e+20]
[ 2.97443309e+22 -7.23389589e+22]
[1.23161798e+22 1.31036137e+22]
[-7.33261015e+20  3.61838188e+21]
[ 1.29996577e+22 -3.23123520e+21]
[-8.95720315e+21  9.00826015e+21]
[1.15288169e+22 4.15851354e+22]
[-1.26376018e+22 -2.84703847e+22]
[-1.26407729e+21 -1.75079369e+21]
[4.73011043e+21 7.78261326e+21]
[ 1.45976906e+22 -5.03082808e+21]
[ 3.76012911e+22 -7.00858869e+22]
[-9.59401428e+21 -5.41249343e+21]
[2.35772770e+21 8.67128206e+20]
[ 1.30235526e+22 -5.46271115e+21]
[-1.19103224e+22  8.29948434e+21]
[-1.49994808e+22 -8.47043551e+21]
[1.34722885e+22 1.03564554e+22]
[-1.26504854e+23 -2.98656113e+23]
[-9.14610164e+21  8.10804794e+21]
[-4.32893517e+22 -2.46234637e+22]
[1.23879249e+23 3.60733579e+22]
[6.59113417e+21 1.01391936e+22]
[ 7.59669487e+21 -1.01925936e+20]
[ 5.59692203e+21 -1.92398802e+22]
[4.90904583e+21 2.13997014e+21]
[4.16248958e+21 2.55307721e+22]
[-6.66017572e+22 -8.28863004e+21]
[-3.66086258e+22 -2.57638281e+22]
[-2.26835963e+21 -1.20714015e+21]
[ 1.98406180e+22 -3.09877727e+22]
[-6.62380309e+21  2.21023158e+22]
[ 1.31413305e+23 -1.08140476e+23]
[-3.83414455e+21 -1.80940642e+21]
[-1.99787159e+22  3.80989153e+22]
[3.03340066e+22 2.03147968e+22]
[8.76605965e+20 2.40462837e+22]
[ 1.24764413e+22 -1.35741281e+22]
[ 8.28713441e+21 -1.98233847e+22]
[-1.63501003e+22  5.27219076e+20]
[-5.31992096e+23 -1.43747087e+23]
[ 5.03826010e+21 -3.91394833e+20]
[-1.19187653e+22  4.75718876e+21]
[ 1.01904227e+21 -7.01409474e+21]
[ 1.67537785e+22 -2.71239589e+22]
[ 4.01542478e+22 -4.96047462e+21]
[-5.4721222e+21 -1.9527671e+22]
[ 4.03131930e+20 -1.40398079e+22]
[ 4.27325307e+22 -7.62283512e+22]
[-4.30802366e+21 -2.60719526e+21]
[ 2.27382409e+22 -1.61966547e+22]
[ 1.31050432e+22 -6.57836218e+21]
[-2.8166142e+21  6.1200713e+21]
[-9.25089223e+21 -4.03692154e+21]
[ 1.88646164e+22 -3.45057275e+22]
[-1.56797765e+23  4.86918419e+22]
[-1.49374957e+22  2.18187047e+21]
[-7.90973011e+20  3.24571913e+22]
[-2.11024815e+22  5.20455877e+22]
[ 1.25978099e+21 -1.59574463e+22]
[-2.23265283e+22  1.78806577e+21]
[6.08652287e+23 3.56453979e+22]
[-9.30311076e+20 -1.58063928e+22]
[ 2.63263420e+21 -1.26324291e+22]
[1.65817620e+22 1.30251581e+20]
[2.47493923e+22 9.06623080e+22]
[1.75936381e+22 7.30035822e+21]
[ 1.79697052e+22 -2.69126017e+22]
[ 4.02395426e+22 -2.66895256e+22]
[ 1.42800019e+22 -3.45704497e+21]
[-1.33350182e+21 -2.16138617e+22]
[-1.31339472e+22 -2.51314655e+22]
[-4.06288045e+22  6.21071051e+21]
[-9.65120640e+21  5.23928403e+22]
[ 2.02647753e+22 -1.26867655e+22]
[-2.46030316e+22  4.97518328e+21]
[ 3.36077307e+22 -4.33023270e+22]
[-2.59331649e+22 -2.25830461e+22]
