"Pozycja (x, y)","Prędkość (Vx, Vy)",Masa,"Siła (Fx, Fy)","Przyspieszenie (Ax, Ay)"
[-5.47075793e+32 -3.29111956e+33],[-5.52601811e+25 -3.32436319e+26],1e+30,[ 3.63143552e-15 -5.75318985e-15],[ 3.63143552e-45 -5.75318985e-45]
[1.69978946e+34 1.73874198e+34],[1.71695905e+27 1.75630503e+27],1e+30,[-8.27327483e-17 -8.53441466e-17],[-8.27327483e-47 -8.53441466e-47]
[ 5.25947042e+33 -5.41848976e+33],[ 5.31259638e+26 -5.47322198e+26],1e+30,[-1.07743842e-15  7.46767376e-16],[-1.07743842e-45  7.46767376e-46]
[4.31039576e+32 3.65640579e+33],[4.35393511e+25 3.69333918e+26],1e+30,[-1.83176861e-15 -1.51556896e-15],[-1.83176861e-45 -1.51556896e-45]
[ 1.08592371e+33 -1.06347999e+33],[ 1.09689263e+26 -1.07422221e+26],1e+30,[-5.98984018e-15  3.03279641e-15],[-5.98984018e-45  3.03279641e-45]
[-1.16758987e+34 -3.21491343e+34],[-1.1793837e+27 -3.2473873e+27],1e+30,[1.58725289e-17 5.48237995e-17],[1.58725289e-47 5.48237995e-47]
[ 4.45308423e+32 -1.80435873e+33],[ 4.49806487e+25 -1.82258458e+26],1e+30,[7.18513223e-15 9.55411354e-15],[7.18513223e-45 9.55411354e-45]
[7.88144629e+33 3.41995178e+34],[7.96105686e+26 3.45449675e+27],1e+30,[-1.90425121e-18 -5.87868387e-17],[-1.90425121e-48 -5.87868387e-47]
[ 5.25922085e+32 -6.51743499e+33],[ 5.31234430e+25 -6.58326767e+26],1e+30,[-4.28965713e-16 -4.89243301e-16],[-4.28965713e-46 -4.89243301e-46]
[-9.71816024e+33  1.26914840e+33],[-9.81632347e+26  1.28196809e+26],1e+30,[2.59418540e-16 1.03260341e-16],[2.59418540e-46 1.03260341e-46]
[ 2.09157262e+33 -8.69538781e+32],[ 2.11269962e+26 -8.78322001e+25],1e+30,[-2.98119179e-15  3.94925092e-15],[-2.98119179e-45  3.94925092e-45]
[-1.28374302e+34 -9.46476920e+34],[-1.29671012e+27 -9.56037293e+27],1e+30,[9.91523624e-19 7.31238130e-18],[9.91523624e-49 7.31238130e-48]
[-1.66614431e+32  1.75357536e+33],[-1.68297405e+25  1.77128824e+26],1e+30,[-4.61429487e-15  1.45554049e-15],[-4.61429487e-45  1.45554049e-45]
[ 4.37968456e+33 -9.63909136e+33],[ 4.42392380e+26 -9.73645592e+26],1e+30,[-2.95775630e-16  5.37499662e-16],[-2.95775630e-46  5.37499662e-46]
[3.29110170e+33 2.00957038e+33],[3.32434515e+26 2.02986907e+26],1e+30,[-2.01358779e-15 -3.75451660e-15],[-2.01358779e-45 -3.75451660e-45]
[ 2.79879605e+33 -1.64818518e+33],[ 2.82706672e+26 -1.66483352e+26],1e+30,[-1.98847916e-15  4.94392585e-16],[-1.98847916e-45  4.94392585e-46]
[-7.50086626e+32  2.01338979e+33],[-7.57663259e+25  2.03372706e+26],1e+30,[-3.12559356e-15  8.58346089e-15],[-3.12559356e-45  8.58346089e-45]
[ 1.76530031e+33 -4.11372441e+33],[ 1.78313163e+26 -4.15527719e+26],1e+30,[-1.85303491e-15  1.63032691e-15],[-1.85303491e-45  1.63032691e-45]
[ 3.57440353e+33 -9.77524095e+32],[ 3.61050862e+26 -9.87398075e+25],1e+30,[-4.22903252e-15  9.81252880e-16],[-4.22903252e-45  9.81252880e-46]
[-1.42256235e+33  4.41420290e+33],[-1.43693166e+26  4.45879081e+26],1e+30,[3.39862694e-15 9.23847958e-15],[3.39862694e-45 9.23847958e-45]
[4.30849167e+33 1.52832077e+33],[4.35201179e+26 1.54375835e+26],1e+30,[-2.44335369e-15 -1.63195026e-15],[-2.44335369e-45 -1.63195026e-45]
[-2.59883998e+33  7.96886247e+32],[-2.62509089e+26  8.04935604e+25],1e+30,[ 1.98746095e-15 -1.49334736e-15],[ 1.98746095e-45 -1.49334736e-45]
[-5.01857575e+33  1.29126125e+33],[-5.06926843e+26  1.30430429e+26],1e+30,[ 7.77490445e-16 -3.60466958e-16],[ 7.77490445e-46 -3.60466958e-46]
[2.38838652e+32 3.11227945e+32],[2.41251163e+25 3.14371661e+25],1e+30,[ 3.66878841e-15 -1.67747385e-14],[ 3.66878841e-45 -1.67747385e-44]
[ 1.51769657e+34 -1.24705518e+33],[ 1.53302684e+27 -1.25965169e+26],1e+30,[-2.14407990e-16 -9.84940467e-17],[-2.14407990e-46 -9.84940467e-47]
[1.62793736e+33 2.90535981e+33],[1.64438117e+26 2.93470688e+26],1e+30,[ 6.69836462e-15 -3.58442132e-16],[ 6.69836462e-45 -3.58442132e-46]
